driver,gender,years_exp,bus_unit,d_type,age,n_trip,ping_speed,distance,travel_time,n_crash,fatalities,injuries,sce_CM,sce_HB,sce_HW,sce_RS,sce_N
d17470,M,7.5,Dedicated,LOC,57,1383,31.5021287057122,84341.019,146844.967,1,0,0,1,13,13,0,27
d28904,M,2.2,Intermodal,LOC,25,1029,18.5532633624879,80373.671,226895.612,2,0,0,4,31,8,0,43
d08442,M,0.3,Dedicated,REG,38,8,42.809125,1541.14,2069.135,0,0,0,0,0,0,0,0
d07422,M,0.6,Dedicated,REG,23,304,36.9018453947368,34845.198,51355.356,0,0,0,5,2,16,0,23
d04915,M,0.6,Dedicated,LOC,27,114,22.572298245614,16386.421,39340.569,0,0,0,0,0,0,0,0
d22149,M,2.3,Dedicated,LOC,44,80,21.7433,5553.33,16089.566,0,0,0,0,0,0,0,0
d03602,M,23.7,Final-mile,REG,55,1343,18.3017855547282,74233.886,215170.874,1,0,0,0,0,7,2,9
d14382,M,3.7,Dedicated,LOC,46,29,26.4073448275862,3250.624,6404.165,0,0,0,0,0,0,0,0
d11111,M,8.2,Dedicated,REG,46,1738,28.1871783659379,131562.805,200963.14,2,0,0,0,1,10,0,11
d29857,M,0.3,Dedicated,LOC,53,982,23.4316822810591,93156.546,210843.475,3,0,0,17,73,1,0,91
d06300,M,1.9,Dedicated,LOC,38,840,22.3181095238095,75902.2779999999,188681.166,1,0,0,2,8,0,0,10
d04850,M,9.1,Dedicated,REG,59,128,34.2605,15028.994,20629.13,0,0,0,0,0,0,0,0
d31415,M,0.9,Dedicated,OTR,26,527,31.7080417457306,71661.611,112925.477,2,0,0,2,4,14,1,21
d14383,M,0.2,Dedicated,LOC,22,468,22.0591666666667,42291.144,101622.863,3,1,0,0,34,3,2,39
d00254,M,1.8,Dedicated,REG,49,1366,23.2138111273792,97189.7950000001,195326.938,2,0,0,0,24,0,0,24
d02211,M,3.2,Dedicated,LOC,34,885,30.631402259887,77130.254,111881.837,2,0,0,4,7,0,0,11
d16061,M,0.3,Dedicated,REG,32,438,43.22600456621,198386.578,241287.207,2,0,0,0,1,12,0,13
d03413,M,1.9,Final-mile,REG,42,1468,33.4641791553134,143488.882,214095.732,2,0,0,6,13,1,0,20
d27760,M,0.5,Dedicated,LOC,23,1039,23.5483214629451,62089.4100000001,184342.572,0,0,0,2,1,0,0,3
d00007,M,3.3,Intermodal,LOC,43,4,14.24775,349.151,1169.7,0,0,0,0,0,0,0,0
d15423,M,0.9,Intermodal,LOC,39,980,37.0538265306123,78961.5950000001,132888.254,4,0,0,1,7,4,0,12
d14035,M,0.6,Dedicated,REG,30,362,29.8757817679558,32603.83,52598.397,1,0,0,2,1,0,0,3
d05516,M,0.9,Final-mile,REG,42,305,33.3889803278689,49075.025,70018.833,1,0,0,0,0,0,1,1
d13649,M,10.2,Intermodal,LOC,40,1048,32.7974666030534,105382.992,187144.622,2,0,0,0,19,20,0,39
d29972,M,5.1,Dedicated,REG,52,66,27.4301515151515,7572.973,11729.732,0,0,0,0,0,0,0,0
d31371,M,0.4,Dedicated,OTR,30,111,32.1634684684685,13782.783,20164.903,0,0,0,0,0,0,0,0
d01772,F,6,Intermodal,REG,44,326,33.3180552147239,63025.7610000001,97840.635,2,0,0,2,5,40,0,47
d16712,M,0.9,Dedicated,REG,39,859,33.7030628637951,174180.952,262681.199,3,0,0,2,7,6,2,17
d31651,M,0.4,Dedicated,REG,30,398,32.7855075376884,61230.005,91566.9039999999,1,0,0,2,3,0,0,5
d20351,M,10.3,Dedicated,LOC,48,359,28.6302200557103,59720.228,114755.463,0,0,0,2,32,0,2,36
d10443,M,9.3,Dedicated,REG,58,395,32.7150607594937,49138.925,79224.5710000001,2,0,0,0,1,7,0,8
d13351,M,2.9,Dedicated,LOC,59,593,26.6295227655987,52819.242,96885.959,5,0,0,0,4,0,12,16
d22306,M,2.5,Dedicated,REG,27,714,33.5359537815126,102735.843,152648.633,6,0,0,4,9,9,0,22
d14315,M,5.5,Final-mile,REG,49,1017,34.8034159292035,196332.329,261890.394,6,0,0,6,11,7,1,25
d26561,M,1.2,Final-mile,REG,30,1033,34.6486340755082,156286.044,225691.86,1,0,0,4,22,7,0,33
d25562,F,1.3,Dedicated,REG,47,858,42.6752738927739,229622.714,277758.126,1,0,0,0,0,0,0,0
d20422,M,8.8,Dedicated,REG,51,799,37.7440050062578,237213.37,279262.666,3,0,0,0,11,8,0,19
d12354,M,0.6,Final-mile,REG,61,85,29.5504705882353,14491.689,22339.902,0,0,0,0,0,0,0,0
d22480,M,0.8,Final-mile,REG,24,61,29.8498032786885,7678.335,12465.669,0,0,0,0,0,0,0,0
d29426,M,1.2,Dedicated,LOC,55,1420,30.6198887323944,121261.881,209536.033,1,0,0,2,3,10,0,15
d11800,M,3,Intermodal,REG,55,32,19.00934375,1114.342,2718.832,0,0,0,0,0,0,0,0
d02313,M,6,Dedicated,OTR,28,1187,30.8796133108677,198623.292,322423.745,1,0,0,3,19,25,0,47
d18080,M,4.3,Intermodal,REG,57,38,30.1683947368421,7462.988,13996.467,0,0,0,0,0,0,0,0
d13501,M,1.9,Dedicated,REG,47,3,10.4543333333333,16.363,207.167,0,0,0,0,0,0,0,0
d28737,M,1.5,Intermodal,LOC,42,1561,18.1347405509289,54565.252,166210.036,0,0,0,5,24,12,2,43
d12466,M,13.4,Dedicated,REG,36,194,29.506175257732,33411.566,53019.604,0,0,0,1,1,0,0,2
d04957,M,10.9,Dedicated,REG,57,1110,29.8858126126126,161143.327,204259.882,0,0,0,2,5,10,0,17
